scenario_id,job_id,oracle_grade,rater_1,rater_2,notes
SC-A-02,job-0172,0,,,
SC-A-03,job-0157,0,,,
SC-A-04,job-0037,0,,,
SC-A-04,job-0038,0,,,
SC-A-05,job-0066,0,,,
SC-A-06,job-0197,0,,,
SC-A-06,job-0135,0,,,
SC-C-01,job-0172,0,,,
SC-C-01,job-0088,0,,,
SC-C-02,job-0017,0,,,
SC-C-03,job-0172,0,,,
SC-C-03,job-0088,0,,,
SC-C-03,job-0187,0,,,
SC-C-04,job-0083,0,,,
SC-C-04,job-0088,0,,,
SC-C-04,job-0014,0,,,
SC-D-01,job-0172,0,,,
SC-D-02,job-0014,0,,,
SC-D-03,job-0172,0,,,
SC-D-03,job-0083,0,,,
SC-D-04,job-0066,0,,,
SC-D-05,job-0037,0,,,
SC-D-07,job-0172,0,,,
SC-D-08,job-0157,0,,,
SC-D-09,job-0037,0,,,
SC-D-09,job-0041,0,,,
SC-D-09,job-0078,0,,,
SC-D-09,job-0038,0,,,
SC-D-09,job-0118,0,,,
SC-D-10,job-0066,0,,,
SC-D-10,job-0159,0,,,
SC-D-10,job-0011,0,,,
SC-D-10,job-0042,0,,,
SC-D-11,job-0165,0,,,
SC-D-11,job-0095,0,,,
SC-D-12,job-0136,0,,,
SC-D-12,job-0095,0,,,
SC-D-12,job-0187,0,,,
SC-E-01,job-0136,0,,,
SC-E-01,job-0165,0,,,
SC-E-01,job-0095,0,,,
SC-E-02,job-0142,0,,,
SC-E-02,job-0128,0,,,
SC-E-02,job-0172,0,,,
SC-E-02,job-0012,0,,,
SC-E-02,job-0133,0,,,
SC-E-03,job-0088,0,,,
SC-E-03,job-0053,0,,,
SC-E-03,job-0083,0,,,
SC-E-04,job-0037,0,,,
SC-E-04,job-0041,0,,,
SC-E-04,job-0078,0,,,
SC-E-04,job-0118,0,,,
SC-E-04,job-0038,0,,,
SC-E-05,job-0066,0,,,
SC-E-05,job-0116,0,,,
SC-E-05,job-0159,0,,,
SC-E-05,job-0011,0,,,
SC-E-05,job-0042,0,,,
SC-F-04,job-0066,0,,,
SC-H-01,job-0136,0,,,
SC-H-01,job-0196,0,,,
SC-H-01,job-0165,0,,,
SC-H-01,job-0083,0,,,
SC-H-01,job-0128,0,,,
SC-H-02,job-0083,0,,,
SC-H-02,job-0138,0,,,
SC-H-02,job-0014,0,,,
SC-H-02,job-0017,0,,,
SC-H-02,job-0001,0,,,
SC-H-03,job-0078,0,,,
SC-H-03,job-0009,0,,,
SC-H-03,job-0038,0,,,
SC-H-03,job-0041,0,,,
SC-H-03,job-0048,0,,,
SC-D-02,job-0031,2,,,
SC-D-03,job-0196,3,,,
SC-D-03,job-0088,3,,,
SC-D-04,job-0012,2,,,
SC-D-04,job-0086,3,,,
SC-A-01,job-0128,3,,,
SC-A-01,job-0088,3,,,
SC-A-02,job-0196,3,,,
SC-A-02,job-0175,0,,,
SC-A-03,job-0014,0,,,
SC-A-03,job-0124,0,,,
SC-A-04,job-0146,0,,,
SC-A-04,job-0040,0,,,
SC-A-04,job-0043,0,,,
SC-A-05,job-0189,0,,,
SC-A-06,job-0088,3,,,
SC-A-06,job-0121,0,,,
SC-A-06,job-0136,3,,,
SC-C-01,job-0031,0,,,
SC-C-01,job-0053,0,,,
SC-C-01,job-0124,0,,,
SC-C-01,job-0173,0,,,
SC-C-02,job-0175,0,,,
SC-C-02,job-0138,2,,,
SC-C-03,job-0014,0,,,
SC-C-03,job-0031,0,,,
SC-C-03,job-0053,0,,,
SC-C-03,job-0124,0,,,
SC-C-04,job-0128,0,,,
SC-C-04,job-0012,0,,,
SC-C-04,job-0136,0,,,
SC-C-04,job-0187,0,,,
SC-C-05,job-0013,3,,,
SC-C-05,job-0084,0,,,
SC-C-05,job-0033,2,,,
SC-D-01,job-0196,3,,,
SC-D-02,job-0188,0,,,
SC-D-04,job-0189,0,,,
SC-D-05,job-0146,0,,,
SC-D-05,job-0040,0,,,
SC-D-05,job-0043,0,,,
SC-E-01,job-0088,0,,,
SC-E-01,job-0187,0,,,
SC-E-01,job-0004,0,,,
SC-E-01,job-0031,0,,,
SC-E-02,job-0088,0,,,
SC-E-02,job-0017,0,,,
SC-E-02,job-0101,0,,,
SC-E-02,job-0136,0,,,
SC-E-03,job-0136,0,,,
SC-E-03,job-0187,0,,,
SC-E-03,job-0004,0,,,
SC-E-04,job-0064,0,,,
SC-E-04,job-0146,0,,,
SC-E-04,job-0009,0,,,
SC-E-05,job-0108,0,,,
SC-E-05,job-0164,0,,,
SC-F-01,job-0088,3,,,
SC-F-01,job-0187,3,,,
SC-F-01,job-0004,3,,,
SC-F-01,job-0031,3,,,
SC-F-02,job-0088,3,,,
SC-F-02,job-0101,3,,,
SC-F-02,job-0142,3,,,
SC-F-02,job-0136,3,,,
SC-F-03,job-0187,3,,,
SC-F-03,job-0004,3,,,
SC-F-04,job-0011,3,,,
SC-F-04,job-0019,3,,,
SC-F-04,job-0070,3,,,
SC-H-01,job-0088,0,,,
SC-H-01,job-0187,0,,,
SC-H-01,job-0056,0,,,
SC-H-01,job-0095,0,,,
SC-H-02,job-0088,0,,,
SC-H-02,job-0136,0,,,
SC-H-02,job-0046,0,,,
SC-H-02,job-0101,0,,,
SC-H-03,job-0146,0,,,
SC-H-03,job-0040,0,,,
SC-H-03,job-0043,0,,,
