scenario_id,job_id,rater_id,relevance_grade
SC-B-05,job-0017,human_adjudicated,2
SC-B-05,job-0025,human_adjudicated,2
SC-B-05,job-0031,human_adjudicated,3
SC-B-05,job-0036,human_adjudicated,2
SC-B-05,job-0046,human_adjudicated,2
SC-B-05,job-0138,human_adjudicated,2
SC-B-05,job-0184,human_adjudicated,2
SC-C-01,job-0031,human_adjudicated,0
SC-C-01,job-0033,human_adjudicated,2
SC-C-01,job-0049,human_adjudicated,2
SC-C-01,job-0053,human_adjudicated,0
SC-C-01,job-0088,human_adjudicated,0
SC-C-01,job-0124,human_adjudicated,0
SC-C-01,job-0128,human_adjudicated,3
SC-C-01,job-0136,human_adjudicated,0
SC-C-01,job-0153,human_adjudicated,2
SC-C-01,job-0172,human_adjudicated,0
SC-C-01,job-0173,human_adjudicated,0
SC-C-02,job-0007,human_adjudicated,2
SC-C-02,job-0012,human_adjudicated,1
SC-C-02,job-0017,human_adjudicated,0
SC-C-02,job-0046,human_adjudicated,0
SC-C-02,job-0128,human_adjudicated,1
SC-C-02,job-0136,human_adjudicated,0
SC-C-02,job-0138,human_adjudicated,0
SC-C-02,job-0142,human_adjudicated,2
SC-C-02,job-0175,human_adjudicated,0
SC-C-02,job-0196,human_adjudicated,0
SC-C-03,job-0012,human_adjudicated,2
SC-C-03,job-0014,human_adjudicated,0
SC-C-03,job-0031,human_adjudicated,0
SC-C-03,job-0033,human_adjudicated,2
SC-C-03,job-0049,human_adjudicated,2
SC-C-03,job-0053,human_adjudicated,0
SC-C-03,job-0088,human_adjudicated,0
SC-C-03,job-0124,human_adjudicated,0
SC-C-03,job-0128,human_adjudicated,2
SC-C-03,job-0136,human_adjudicated,0
SC-C-03,job-0172,human_adjudicated,0
SC-C-03,job-0187,human_adjudicated,0
SC-C-04,job-0012,human_adjudicated,0
SC-C-04,job-0014,human_adjudicated,0
SC-C-04,job-0031,human_adjudicated,3
SC-C-04,job-0053,human_adjudicated,3
SC-C-04,job-0083,human_adjudicated,0
SC-C-04,job-0088,human_adjudicated,0
SC-C-04,job-0128,human_adjudicated,0
SC-C-04,job-0136,human_adjudicated,0
SC-C-04,job-0173,human_adjudicated,2
SC-C-04,job-0187,human_adjudicated,0
SC-C-05,job-0013,human_adjudicated,0
SC-C-05,job-0033,human_adjudicated,0
SC-C-05,job-0041,human_adjudicated,3
SC-C-05,job-0064,human_adjudicated,3
SC-C-05,job-0078,human_adjudicated,3
SC-C-05,job-0084,human_adjudicated,0
SC-C-05,job-0107,human_adjudicated,3
SC-C-05,job-0111,human_adjudicated,3
SC-D-01,job-0012,human_adjudicated,2
SC-D-01,job-0088,human_adjudicated,3
SC-D-01,job-0128,human_adjudicated,2
SC-D-01,job-0136,human_adjudicated,0
SC-D-01,job-0172,human_adjudicated,0
SC-D-01,job-0187,human_adjudicated,3
SC-D-01,job-0196,human_adjudicated,0
SC-D-02,job-0007,human_adjudicated,3
SC-D-02,job-0014,human_adjudicated,0
SC-D-02,job-0031,human_adjudicated,0
SC-D-02,job-0053,human_adjudicated,0
SC-D-02,job-0138,human_adjudicated,0
SC-D-02,job-0142,human_adjudicated,2
SC-D-02,job-0184,human_adjudicated,0
SC-D-02,job-0188,human_adjudicated,0
SC-D-03,job-0012,human_adjudicated,2
SC-D-03,job-0031,human_adjudicated,3
SC-D-03,job-0053,human_adjudicated,3
SC-D-03,job-0083,human_adjudicated,0
SC-D-03,job-0088,human_adjudicated,3
SC-D-03,job-0128,human_adjudicated,2
SC-D-03,job-0136,human_adjudicated,0
SC-D-03,job-0165,human_adjudicated,0
SC-D-03,job-0172,human_adjudicated,0
SC-D-03,job-0196,human_adjudicated,0
SC-D-04,job-0012,human_adjudicated,2
SC-D-04,job-0066,human_adjudicated,0
SC-D-04,job-0070,human_adjudicated,3
SC-D-04,job-0086,human_adjudicated,3
SC-D-04,job-0110,human_adjudicated,3
SC-D-04,job-0116,human_adjudicated,0
SC-D-04,job-0125,human_adjudicated,3
SC-D-04,job-0159,human_adjudicated,3
SC-D-04,job-0189,human_adjudicated,0
SC-D-05,job-0037,human_adjudicated,0
SC-D-05,job-0040,human_adjudicated,0
SC-D-05,job-0041,human_adjudicated,3
SC-D-05,job-0043,human_adjudicated,0
SC-D-05,job-0064,human_adjudicated,3
SC-D-05,job-0078,human_adjudicated,3
SC-D-05,job-0107,human_adjudicated,2
SC-D-05,job-0111,human_adjudicated,2
SC-D-05,job-0146,human_adjudicated,0
SC-D-06,job-0012,human_adjudicated,3
SC-D-06,job-0095,human_adjudicated,3
SC-D-06,job-0136,human_adjudicated,0
SC-D-06,job-0187,human_adjudicated,3
SC-D-06,job-0196,human_adjudicated,0
SC-D-07,job-0012,human_adjudicated,2
SC-D-07,job-0046,human_adjudicated,0
SC-D-07,job-0088,human_adjudicated,2
SC-D-07,job-0128,human_adjudicated,2
SC-D-07,job-0136,human_adjudicated,0
SC-D-07,job-0172,human_adjudicated,0
SC-D-07,job-0196,human_adjudicated,0
SC-D-08,job-0031,human_adjudicated,3
SC-D-08,job-0053,human_adjudicated,3
SC-D-08,job-0088,human_adjudicated,3
SC-D-08,job-0128,human_adjudicated,3
SC-D-08,job-0157,human_adjudicated,0
SC-D-08,job-0173,human_adjudicated,3
SC-D-09,job-0020,human_adjudicated,2
SC-D-09,job-0021,human_adjudicated,1
SC-D-09,job-0033,human_adjudicated,0
SC-D-09,job-0037,human_adjudicated,0
SC-D-09,job-0038,human_adjudicated,0
SC-D-09,job-0041,human_adjudicated,3
SC-D-09,job-0078,human_adjudicated,3
SC-D-09,job-0118,human_adjudicated,2
SC-D-09,job-0153,human_adjudicated,0
SC-D-09,job-0163,human_adjudicated,1
SC-D-09,job-0169,human_adjudicated,0
SC-D-09,job-0194,human_adjudicated,2
SC-D-10,job-0011,human_adjudicated,3
SC-D-10,job-0042,human_adjudicated,0
SC-D-10,job-0066,human_adjudicated,0
SC-D-10,job-0110,human_adjudicated,3
SC-D-10,job-0116,human_adjudicated,3
SC-D-10,job-0117,human_adjudicated,1
SC-D-10,job-0159,human_adjudicated,3
SC-D-10,job-0161,human_adjudicated,1
SC-D-10,job-0185,human_adjudicated,2
SC-D-10,job-0198,human_adjudicated,3
SC-D-11,job-0012,human_adjudicated,3
SC-D-11,job-0049,human_adjudicated,2
SC-D-11,job-0095,human_adjudicated,2
SC-D-11,job-0128,human_adjudicated,2
SC-D-11,job-0136,human_adjudicated,0
SC-D-11,job-0165,human_adjudicated,0
SC-D-11,job-0196,human_adjudicated,0
SC-D-12,job-0012,human_adjudicated,3
SC-D-12,job-0049,human_adjudicated,2
SC-D-12,job-0095,human_adjudicated,0
SC-D-12,job-0136,human_adjudicated,0
SC-D-12,job-0153,human_adjudicated,2
SC-D-12,job-0187,human_adjudicated,0
SC-D-12,job-0196,human_adjudicated,0
SC-E-01,job-0004,human_adjudicated,0
SC-E-01,job-0012,human_adjudicated,3
SC-E-01,job-0031,human_adjudicated,0
SC-E-01,job-0088,human_adjudicated,0
SC-E-01,job-0095,human_adjudicated,0
SC-E-01,job-0136,human_adjudicated,0
SC-E-01,job-0165,human_adjudicated,0
SC-E-01,job-0187,human_adjudicated,0
SC-E-01,job-0196,human_adjudicated,0
SC-E-02,job-0012,human_adjudicated,0
SC-E-02,job-0017,human_adjudicated,0
SC-E-02,job-0088,human_adjudicated,0
SC-E-02,job-0101,human_adjudicated,0
SC-E-02,job-0128,human_adjudicated,0
SC-E-02,job-0133,human_adjudicated,0
SC-E-02,job-0136,human_adjudicated,0
SC-E-02,job-0142,human_adjudicated,0
SC-E-02,job-0172,human_adjudicated,0
SC-E-03,job-0004,human_adjudicated,0
SC-E-03,job-0031,human_adjudicated,3
SC-E-03,job-0053,human_adjudicated,0
SC-E-03,job-0083,human_adjudicated,0
SC-E-03,job-0088,human_adjudicated,0
SC-E-03,job-0136,human_adjudicated,0
SC-E-03,job-0173,human_adjudicated,3
SC-E-03,job-0187,human_adjudicated,0
SC-E-04,job-0009,human_adjudicated,0
SC-E-04,job-0037,human_adjudicated,0
SC-E-04,job-0038,human_adjudicated,0
SC-E-04,job-0041,human_adjudicated,0
SC-E-04,job-0064,human_adjudicated,0
SC-E-04,job-0078,human_adjudicated,0
SC-E-04,job-0118,human_adjudicated,0
SC-E-04,job-0146,human_adjudicated,0
SC-E-05,job-0011,human_adjudicated,0
SC-E-05,job-0012,human_adjudicated,1
SC-E-05,job-0042,human_adjudicated,0
SC-E-05,job-0066,human_adjudicated,0
SC-E-05,job-0108,human_adjudicated,0
SC-E-05,job-0116,human_adjudicated,0
SC-E-05,job-0159,human_adjudicated,0
SC-E-05,job-0164,human_adjudicated,0
SC-E-05,job-0196,human_adjudicated,0
SC-F-01,job-0004,human_adjudicated,2
SC-F-01,job-0012,human_adjudicated,3
SC-F-01,job-0031,human_adjudicated,2
SC-F-01,job-0088,human_adjudicated,2
SC-F-01,job-0095,human_adjudicated,2
SC-F-01,job-0136,human_adjudicated,3
SC-F-01,job-0165,human_adjudicated,2
SC-F-01,job-0187,human_adjudicated,2
SC-F-01,job-0196,human_adjudicated,3
SC-F-02,job-0007,human_adjudicated,3
SC-F-02,job-0017,human_adjudicated,3
SC-F-02,job-0053,human_adjudicated,3
SC-F-02,job-0088,human_adjudicated,2
SC-F-02,job-0101,human_adjudicated,2
SC-F-02,job-0136,human_adjudicated,2
SC-F-02,job-0138,human_adjudicated,3
SC-F-02,job-0142,human_adjudicated,2
SC-F-02,job-0184,human_adjudicated,3
SC-F-03,job-0004,human_adjudicated,2
SC-F-03,job-0031,human_adjudicated,3
SC-F-03,job-0060,human_adjudicated,3
SC-F-03,job-0088,human_adjudicated,3
SC-F-03,job-0113,human_adjudicated,2
SC-F-03,job-0136,human_adjudicated,3
SC-F-03,job-0187,human_adjudicated,3
SC-F-04,job-0011,human_adjudicated,3
SC-F-04,job-0019,human_adjudicated,3
SC-F-04,job-0066,human_adjudicated,0
SC-F-04,job-0070,human_adjudicated,3
SC-F-04,job-0086,human_adjudicated,3
SC-F-04,job-0116,human_adjudicated,3
SC-F-04,job-0159,human_adjudicated,3
SC-F-04,job-0189,human_adjudicated,3
SC-F-04,job-0195,human_adjudicated,3
SC-G-01,job-0012,human_adjudicated,2
SC-G-01,job-0033,human_adjudicated,2
SC-G-01,job-0049,human_adjudicated,2
SC-G-01,job-0088,human_adjudicated,3
SC-G-01,job-0128,human_adjudicated,2
SC-G-01,job-0136,human_adjudicated,0
SC-G-01,job-0153,human_adjudicated,2
SC-G-01,job-0169,human_adjudicated,2
SC-G-01,job-0171,human_adjudicated,2
SC-G-01,job-0172,human_adjudicated,0
SC-G-01,job-0187,human_adjudicated,2
SC-G-01,job-0196,human_adjudicated,0
SC-G-02,job-0001,human_adjudicated,0
SC-G-02,job-0010,human_adjudicated,0
SC-G-02,job-0014,human_adjudicated,3
SC-G-02,job-0031,human_adjudicated,3
SC-G-02,job-0053,human_adjudicated,3
SC-G-02,job-0083,human_adjudicated,0
SC-G-02,job-0088,human_adjudicated,3
SC-G-02,job-0108,human_adjudicated,1
SC-G-02,job-0116,human_adjudicated,2
SC-G-02,job-0124,human_adjudicated,3
SC-G-02,job-0129,human_adjudicated,1
SC-H-01,job-0056,human_adjudicated,0
SC-H-01,job-0083,human_adjudicated,0
SC-H-01,job-0088,human_adjudicated,0
SC-H-01,job-0095,human_adjudicated,0
SC-H-01,job-0128,human_adjudicated,0
SC-H-01,job-0136,human_adjudicated,0
SC-H-01,job-0165,human_adjudicated,0
SC-H-01,job-0187,human_adjudicated,0
SC-H-01,job-0196,human_adjudicated,0
SC-H-02,job-0001,human_adjudicated,0
SC-H-02,job-0014,human_adjudicated,0
SC-H-02,job-0017,human_adjudicated,0
SC-H-02,job-0046,human_adjudicated,0
SC-H-02,job-0083,human_adjudicated,0
SC-H-02,job-0088,human_adjudicated,0
SC-H-02,job-0101,human_adjudicated,0
SC-H-02,job-0136,human_adjudicated,0
SC-H-02,job-0138,human_adjudicated,0
SC-H-03,job-0009,human_adjudicated,0
SC-H-03,job-0038,human_adjudicated,0
SC-H-03,job-0040,human_adjudicated,0
SC-H-03,job-0041,human_adjudicated,0
SC-H-03,job-0043,human_adjudicated,0
SC-H-03,job-0048,human_adjudicated,0
SC-H-03,job-0078,human_adjudicated,0
SC-H-03,job-0146,human_adjudicated,0
